Site,Date,Time,Campaign,Latitude,Longitude,Temp.C,Cond.uScm,Sp_Cond.uScm,Sp_Cond_calc.uScm,DO.mgL,DO.pct,Handheld,Notes,DistFromMouth.m,Flowpath,WBType,DateTime,UNH_ID,narsat,narcalc,nconc,nardiseq,NH4.ugL,Cl.mgL,NO3.mgL,SO4.mgL,Br.mgL,DOC.mgL,TDN.mgL,DIN.mgL,DON.mgL
W1,6/23/2020,8:30,1,42.768825,-70.943159,19.2,128.8,144.9,144.8460448,5.42,58.6,WSAG,NA,3169.18,Cart,Channel,6/23/2020 8:30,182202,26.97931133,27.09395035,16.69947576,0.114639029,708.8177816,56.318,0.1302,0.9474,0.0606,12.59509067,1.264577335,0.839017782,0.425559554
W9,6/23/2020,9:25,1,42.77254,-70.922688,23.7,339.6,348.2,348.2469723,1.9,22.5,McD,"WSAG HH: T = 24, cond = 336.0, SC = 337.0, DO = 2.17, 25.8%",929.75,Cart,Channel,6/23/2020 9:25,182203,27.21513785,27.00925052,15.89390316,-0.20588733,840.4155663,72.0326,0.0096,0.435,0.0735,11.35925462,1.156927388,0.850015566,0.306911822
E3,6/23/2020,9:50,1,42.773326,-70.92186,20.4,971,1064,1064.529568,0.97,10.8,McD,Samples collected in storage; no surface flow out,880.46,Cart,Pond_Outflow,6/23/2020 9:50,182204,27.04075326,27.05307682,16.36732147,0.012323565,80.09802072,296.0828,0.0077,0.7534,0.1141,11.22075576,0.481580604,0.087798021,0.393782583
E3_DS,6/23/2020,9:50,1,42.773326,-70.92186,20.6,958,1045,1045.897201,0.15,1.7,McD,Channel just downstream of dam; handhelds only,880.46,Cart,Channel,6/23/2020 9:50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E11,6/23/2020,10:10,1,42.773719,-70.922431,23.3,1124,1162,1161.721084,0.58,6.9,McD,Not an original sampling location; CCBP_UP_2 pond outflow upstream of E3,954.46,Cart,Pond_Outflow,6/23/2020 10:10,182205,27.19356312,27.02911663,16.11732425,-0.164446491,64.66931493,323.1197,0.0083,0.7111,0.1037,14.50211354,0.58080082,0.072969315,0.507831505
E1,6/23/2020,10:35,1,42.774407,-70.920194,24.5,785,792,792.5690343,0.66,7.9,McD,Sulfury smell; large pond outflow; sub-surface flow out,966.23,Cart,Pond_Outflow,6/23/2020 10:35,182206,27.25866084,27.13401065,16.43996941,-0.124650188,12.93777199,218.9631,0.0089,0.6993,0.0626,14.6938812,0.604666072,0.021837772,0.5828283
E4,6/23/2020,11:20,1,42.772893,-70.921659,20.6,978,1067,1067.732215,0.54,6,McD,Connected but can't tell if flowing,829.63,Cart,Channel,6/23/2020 11:20,182207,27.05109325,27.10174013,16.79818157,0.050646884,267.965203,296.0578,0.0093,0.7483,0.1058,10.91179674,0.653421816,0.277265203,0.376156613
E5,6/23/2020,11:45,1,42.772977,-70.920677,20.6,662,723,722.7389842,0.48,5.4,McD,NA,800.65,Cart,Pond_Outflow,6/23/2020 11:45,182208,27.05109325,27.09040474,16.76758042,0.03931149,529.7994159,196.9134,0.0072,0.7536,0.106,9.390439952,0.933083848,0.536999416,0.396084432
E6,6/23/2020,12:15,1,42.771584,-70.919719,25.2,621,619,618.6368074,5.01,60.7,McD,NA,540.22,Cart,Pond_Outflow,6/23/2020 12:15,182209,27.29715804,27.1026127,16.2556053,-0.194545342,24.05551587,161.8888,0.007,0.598,0.0726,9.678091446,0.420578967,0.031055516,0.389523451
E7,6/23/2020,12:30,1,42.770733,-70.919517,18.1,395.4,455.8,455.4197717,2.4,25.4,McD,Sample collected in riffle,410,Cart,Channel,6/23/2020 12:30,182210,26.92387223,27.23191268,17.94661348,0.30804045,110.2747541,113.4407,0.0185,1.0412,0.0715,NA,NA,0.128774754,NA
E8,6/23/2020,12:50,1,42.770975,-70.918242,20.6,435.6,474.9,475.5666186,0.84,9.1,McD,Sample collected in storage; flow trickling out through dam,278.04,Cart,Pond_Outflow,6/23/2020 12:50,182211,27.05109325,27.17833905,17.53246168,0.127245804,85.99723176,120.2471,0.0093,0.8914,0.0681,7.174458071,0.370114495,0.095297232,0.274817263
E9,6/23/2020,13:00,1,42.770728,-70.917797,21.4,435.6,467.2,467.7634122,1.03,11.7,McD,Sample in pool just downstream of cascade,232.43,Cart,Channel,6/23/2020 13:00,182212,27.09274305,27.29140031,17.105993,0.198657254,103.6948649,120.8395,0.1091,0.8445,0.0713,6.521382642,0.462385878,0.212794865,0.249591013
E10,6/23/2020,13:15,1,42.7691,-70.9164,22.5,447.8,470.5,470.25466,6.29,72.7,McD,NA,0,Cart,Channel,6/23/2020 13:15,182213,27.15078143,27.33706548,16.92024861,0.186284046,79.41734252,115.0828,0.1443,0.9938,0.0726,7.289518669,0.620386382,0.223717343,0.39666904
E2,6/23/2020,13:30,1,42.769889,-70.917502,23,458.9,467.7,477.1262217,5.66,66.3,McD,No channel to sample original E2 site on CCBP_UP_3; Changed to Drew's Ar addition ref. site,130.08,Cart,Channel,6/23/2020 13:30,182214,27.17746284,27.3535206,16.95458901,0.176057762,68.75338411,114.3631,0.1243,0.9236,0.0662,7.038089955,0.540930469,0.193053384,0.347877085
W10,6/23/2020,15:50,1,42.751302,-70.929337,25.1,878,877,876.3262169,6.56,79.7,McD,"Courser Brook at Orchard Street; WSAG handhelds: cond = 812, SC = 819",0,Courser,Channel,NA,182215,27.15078143,27.41017962,16.86972108,0.259398183,49.24060914,218.9248,0.4563,2.1344,0.1161,7.454651934,0.972384622,0.505540609,0.466844013
W3,6/23/2020,16:15,1,42.765374,-70.933373,27.9,616,585,583.6704915,2.48,31.6,McD,"WSAG HH: T = 27.9, cond = 606, SC = 583, DO = 2.34, 30.9%",2593.37,Courser,Pond_Outflow,6/23/2020 16:15,182216,27.44939055,27.15355466,16.52271185,-0.295835889,15.66048478,149.5364,0.0076,0.8636,0.0907,16.17475371,0.840812464,0.023260485,0.81755198
W4,6/23/2020,16:45,1,42.759349,-70.936846,21.3,1259,1353,1354.739436,5.38,61,McD,"WSAG HH: T = 21.7, cond = 1212, SC = 1302, DO = 5.01, 56.8%",1608.36,Courser,Channel,6/23/2020 16:45,182217,27.08751129,27.57428255,18.02812751,0.486771264,115.7201797,364.2124,0.6194,3.6422,0.1371,6.602351211,1.13585306,0.73512018,0.40073288
W8,6/23/2020,9:55,1,42.772253,-70.924514,19.1,55.5,61.3,62.54860195,0.54,5.8,WSAG,"Not an original site; lat/long estimated; Upstream of powerline ponded; no flow/connection with pond; downstream of powerline HH: T = 25, cond = 284, SC = 284",1114.47,Cart,Channel,6/23/2020 9:55,182218,26.97423689,27.15348436,18.06055708,0.179247471,20.19833942,8.0982,0.0074,0.7533,0.0236,6.910244847,0.416591932,0.027598339,0.388993593
W7,6/23/2020,10:23,1,42.771756,-70.925558,16.8,196.1,229.2,232.5167777,2,20.7,WSAG,Actual W8 site; just downstream of powerline cut at culvert; very slow flow (through MIMS tube); small dam in culvert,1231.5,Cart,Channel,6/23/2020 10:23,182219,26.85941034,27.1703608,18.85293656,0.310950459,81.91316258,68.2671,0.0288,1.4268,0.0456,4.810388939,0.453500485,0.110713163,0.342787323
W7_Next_culvert,6/23/2020,10:45,1,42.771357,-70.927005,18.4,377.5,429.9,431.9518502,2.14,22.7,WSAG,Between W6 & W7; lat/long estimated; standing water (no flow); channel upstream dry; No gas/grabs collected,1408.8,Cart,Pond_Outflow,6/23/2020 10:45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W6,6/23/2020,11:05,1,42.770378,-70.927773,21.4,1013,1073,1087.796916,0.46,5.2,WSAG,Outflow of beaver pond; water ~2 ft below top of dam; pond storing a lot of water (~2 ft deep); slow flow downstream of dam; sampled upstream of dam at rock bridge; HH downstream where flow similar to pond,1584.8,Cart,Pond_Outflow,6/23/2020 11:05,182220,27.09274305,27.18299258,17.55917625,0.090249526,23.37484,331.99520,0.00940,0.69090,0.12650,13.06386,0.62153,0.03277,0.58875
W5,6/23/2020,NA,1,42.769887,-70.929468,21,417.9,473,452.4686011,NA,NA,WSAG,"Wetland dry expect small puddle at culvert/road; no samples collected; channel between upper and lower CC is dry; pool/pond above HH: T = 21.9, cond = 567, SC = 603; big pond doesn't open up for ~50 m",1741.85,Cart,Pond_Outflow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W2,6/23/2020,,1,42.769227,-70.932923,20.1,1812,2053,1999.095332,0.4,4.4,WSAG,NA,2102.51,Cart,Channel,NA,182221,27.02529705,27.30027656,18.08693306,0.274979511,12.2570938,77.3553,0.008,0.4233,0.0788,13.82027296,0.666522074,0.020257094,0.64626498
W11,6/23/2020,12:55,1,42.77471,-70.9265,21.6,532,581,568.9474472,5.34,59.7,WSAG,Really wetland/marsh; sampled here assuming reflective of input from catchment; ~2 in deep; mucky; still but slight downstream flow; no N2:Ar (not deep enough),1525.01,Cart,Channel,6/23/2020 12:55,182222,NA,NA,NA,NA,57.86253296,164.7226,0.1476,3.1437,0.055,1.074115643,0.288835937,0.205462533,0.083373404
W1,6/9/2021,8:15,2,42.768825,-70.943159,21.6,261.6,279.8,279.8,4.51,51.2,NA,,3169.18,Cart,Channel,6/9/2021 8:15,189522,27.10322865,27.09894672,15.19558925,-0.004281935,NA,52.503,0.0265,0.3774,0.0504,17.20816834,0.976941233,0.0265,0.950441233
W9,6/9/2021,9:15,2,42.77254,-70.922688,26.6,265.2,NA,257.3358174,3.32,41.4,NA,,929.75,Cart,Channel,6/9/2021 9:15,189523,27.37533939,26.69095956,14.2980955,-0.684379824,NA,57.9829,0.0143,0.6955,0.0473,10.89048923,0.428894783,0.0143,0.414594783
E3,6/9/2021,9:50,2,42.773326,-70.92186,24.2,706,717,717,2.05,24.6,NA,At dam; not flowing over or around,880.46,Cart,Pond_Outflow,6/9/2021 9:50,189524,27.24228095,27.31321615,15.47371678,0.070935201,NA,202.2414,0.0189,0.6431,0.0586,13.30889253,0.652282663,0.0189,0.633382663
E11,6/9/2021,10:00,2,42.773719,-70.922431,25.9,756,743,743,4.12,50.7,NA,No flow out/over dam,954.46,Cart,Pond_Outflow,6/9/2021 10:00,189525,27.33604877,26.81521024,15.14227257,-0.520838531,NA,200.8645,0.0134,0.7115,0.0465,13.74569665,0.556252075,0.0134,0.542852075
E1,6/9/2021,10:35,2,42.774407,-70.920194,27.4,437.1,417.5,417.5,1.18,15,NA,Not really flowing out/over dam,966.23,Cart,Pond_Outflow,6/9/2021 10:35,189526,27.42074084,27.17660229,15.70963386,-0.244138552,NA,110.2304,0.0386,0.539,0.0507,11.73213619,0.626651723,0.0386,0.588051723
E4,6/9/2021,10:15,2,42.772893,-70.921659,23.7,709,728,728,1.23,14.5,NA,Tricking/flowing,829.63,Cart,Channel,6/9/2021 10:15,189527,27.21513785,27.21977156,15.86873997,0.004633711,NA,207.8131,0.0169,0.6478,0.0693,12.73358954,0.631777911,0.0169,0.614877911
E5,6/9/2021,10:55,2,42.772977,-70.920677,22.4,406.6,427.5,427.5,0.52,6,NA,Small trickle over/around dam,800.65,Cart,Pond_Outflow,6/9/2021 10:55,189528,27.14546785,27.17036399,16.36760967,0.024896136,NA,107.958,0.0171,0.5814,0.0755,11.43383094,0.754806422,0.0171,0.737706422
E6,6/9/2021,11:20,2,42.771584,-70.919719,25.6,460.8,455.7,455.7,4.55,55.7,NA,CCBP_OUT; Flowing over dam; impounded downstream,540.22,Cart,Pond_Outflow,6/9/2021 11:20,189529,27.31933272,27.06870114,16.00169263,-0.250631584,NA,NA,NA,NA,NA,NA,NA,NA,NA
E7,6/9/2021,11:35,2,42.770733,-70.919517,23.4,409.3,422.3,422.3,2.81,33.1,NA,Channelized - flowing nicely,410,Cart,Channel,6/9/2021 11:35,189530,27.19894523,27.32828939,17.11667569,0.129344157,NA,110.3238,0.0234,0.8549,0.0605,10.05949602,0.508521569,0.0234,0.485121569
E8,6/9/2021,11:50,2,42.770975,-70.918242,25.2,400.2,399.1,399.1,3.51,42.6,NA,"MIMS, GHG, nuts collected in pond; TSS collected just downstream in water flowing out/through dam",278.04,Cart,Pond_Outflow,6/9/2021 11:50,189531,27.29715804,27.30874528,17.10443452,0.011587233,NA,77.8211,0.0176,0.5923,0.0434,14.62995865,0.804929149,0.0176,0.787329149
E9,6/9/2021,12:00,2,42.770728,-70.917797,23.5,324.4,334.1,334.1,4.54,53.5,NA,,232.43,Cart,Channel,6/9/2021 12:00,189532,27.20433504,27.30869792,16.98909116,0.104362882,NA,81.7591,0.0354,0.6451,0.0622,14.62995865,0.687026826,0.0354,0.651626826
E10,6/9/2021,12:25,2,42.7691,-70.9164,23.2,331.9,343.4,343.4,4.12,48.2,NA,,0,Cart,Channel,6/9/2021 12:25,189533,27.1881887,27.45793815,17.73889263,0.269749454,NA,83.8677,0.0552,0.7308,0.0592,13.27693125,0.686457249,0.0552,0.631257249
E2,6/9/2021,12:15,2,42.769889,-70.917502,23.5,317.6,326.9,326.9,5.01,59,NA,,130.08,Cart,Channel,6/9/2021 12:15,189534,27.20433504,27.74428007,18.32211455,0.539945026,NA,76.2916,0.0452,0.6471,0.0546,14.81107255,0.669939532,0.0452,0.624739532
W10,6/9/2021,13:10,2,42.751302,-70.929337,25.6,564,558,558,7.29,89.2,NA,Downstream of culvert,0,Courser,Channel,6/9/2021 13:10,189535,27.31933272,27.62459387,17.22438118,0.305261142,NA,140.3761,0.2631,1.8516,0.0744,12.63770571,0.936501306,0.2631,0.673401306
W3,6/9/2021,13:30,2,42.765374,-70.933373,26.6,282.5,274.3,274.3,1.64,20.5,NA,,2593.37,Courser,Pond_Outflow,6/9/2021 13:30,189536,27.37533939,27.60617298,17.29072402,0.230833593,NA,74.6003,0.0144,0.5584,0.0448,16.96313188,0.689874708,0.0144,0.675474708
W4,6/9/2021,,2,42.759349,-70.936846,22.8,547,571,571,5.06,59,NA,,1608.36,Courser,Channel,6/9/2021 0:00,189537,27.1667675,27.684149,18.15785672,0.517381501,NA,152.722,0.1793,1.2121,0.0779,14.43819099,0.877834933,0.1793,0.698534933
W8,6/9/2021,10:00,2,42.772059,-70.924559,25.3,495.9,NA,493.0746821,2,23.4,NA,,1114.47,Cart,Channel,6/9/2021 10:00,189538,27.19356312,27.23853933,16.48559234,0.044976206,NA,119.9611,0.0138,0.6605,0.0578,10.69872156,0.467853812,0.0138,0.454053812
W7,6/9/2021,10:30,2,42.771756,-70.925558,21.7,452,NA,482.4060536,3.08,35,NA,Channelized; One MIMS sample submerged to fill,1231.5,Cart,Channel,6/9/2021 10:30,189539,27.10848252,27.20545705,16.69501408,0.096974531,NA,130.8924,0.0171,0.6387,0.0698,11.35925462,0.536373857,0.0171,0.519273857
Extra,6/9/2021,,2,42.771756,-70.925594,29.6,91.1,NA,83.74239332,7.8,68.2,NA,No GHG - syringe fucked; right at groundwater outflow,1234.5,Cart,Channel,6/9/2021 0:00,189540,27.54841083,26.88755032,18.54366355,-0.660860505,NA,21.624,0.0176,2.752,0.034,0.270609136,0.108906739,0.0176,0.091306739
W6,6/9/2021,11:30,2,42.770378,-70.927773,24,649,NA,661.6372719,0.48,5.7,NA,,1584.8,Cart,Pond_Outflow,6/9/2021 11:30,189541,27.23140029,27.26986188,16.84991728,0.038461586,NA,189.6125,0.0152,0.3565,0.077,14.55538234,0.642599863,0.0152,0.627399863
W2,6/9/2021,13:00,2,42.769227,-70.932923,23.9,256,NA,261.4939887,0.44,5.4,NA,,2102.51,Cart,Channel,6/9/2021 13:00,189542,27.22597169,27.71287493,18.21595586,0.486903234,NA,50.6773,0.0172,0.491,0.0591,17.31470593,0.74227574,0.0172,0.72507574
W11,6/9/2021,13:50,2,42.77471,-70.9265,18.3,801,NA,918.5463803,6.71,65.6,NA,,1525.01,Cart,Channel,6/9/2021 13:50,189543,26.93389033,27.48185733,19.03078788,0.547967004,NA,295.8198,0.0525,1.2213,0.1179,5.497556398,0.355305507,0.0525,0.302805507
W12,6/9/2021,13:30,2,42.772779,-70.930448,14.5,1380,NA,1726.186753,4.45,43.5,NA,,1921.16,Cart,Channel,6/9/2021 13:30,189544,26.74806069,27.35734897,20.71596032,0.609288279,NA,438.8418,0.1027,3.3883,0.0933,4.547241091,0.413459262,0.1027,0.310759262
W5,6/9/2021,12:00,2,42.769887,-70.929468,23.1,362,NA,375.6316734,0.98,11.5,NA,Water flow here seems less than W6,1741.85,Cart,Pond_Outflow,6/9/2021 12:00,189545,27.18282194,27.06120527,17.33023639,-0.121616674,NA,102.0235,0.0135,0.3991,0.0538,15.20526164,0.77588075,0.0135,0.76238075
W13,6/9/2021,11:00,2,42.771766,-70.926673,22,622,NA,659.8069375,4.26,48.8,NA,,1734.8,Cart,Channel,6/9/2021 11:00,189546,27.12428861,27.45858896,17.04406818,0.334300346,NA,191.8423,0.0141,0.275,0.0991,15.1626466,0.644308593,0.0141,0.630208593
